model_name,timestamp,test_auc,test_accuracy,test_precision,test_recall,test_f1,predicted_positives,true_positives,correct_positives,total_patients,hidden_dim,num_layers,learning_rate,drop_out,total_epochs,optimizer_type,pos_weight,model_description,device,total_params
model_000_h64_numl2_lr0.0001_drop0_limited_pat_emb,2025-08-29T00:16:10.623173,0.6546706989247312,0.4820143884892086,0.1459627329192546,0.7833333333333333,0.2460732984293193,322,60.0,47,556,64,2,0.0001,0.0,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_001_h64_numl2_lr0.001_drop0_limited_pat_emb,2025-08-29T00:16:24.036969,0.690893817204301,0.6474820143884892,0.1880733944954128,0.6833333333333333,0.2949640287769784,218,60.0,41,556,64,2,0.001,0.0,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_002_h64_numl2_lr0.0001_drop0.1_limited_pat_emb,2025-08-29T00:16:35.418788,0.6933131720430107,0.6312949640287769,0.1806167400881057,0.6833333333333333,0.2857142857142857,227,60.0,41,556,64,2,0.0001,0.1,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_003_h64_numl2_lr0.001_drop0.1_limited_pat_emb,2025-08-29T00:16:37.505640,0.6720430107526881,0.4928057553956834,0.1464968152866242,0.7666666666666667,0.2459893048128342,314,60.0,46,556,64,2,0.001,0.1,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_004_h64_numl2_lr0.0001_drop0.3_limited_pat_emb,2025-08-29T00:16:40.448619,0.6725134408602151,0.5197841726618705,0.1491525423728813,0.7333333333333333,0.2478873239436619,295,60.0,44,556,64,2,0.0001,0.3,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_005_h64_numl2_lr0.001_drop0.3_limited_pat_emb,2025-08-29T00:16:42.177876,0.6826948924731182,0.39568345323741,0.1387434554973822,0.8833333333333333,0.2398190045248868,382,60.0,53,556,64,2,0.001,0.3,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_006_h64_numl2_lr0.0001_drop0.5_limited_pat_emb,2025-08-29T00:16:56.304032,0.692372311827957,0.6241007194244604,0.1746724890829694,0.6666666666666666,0.2768166089965397,229,60.0,40,556,64,2,0.0001,0.5,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_007_h64_numl2_lr0.001_drop0.5_limited_pat_emb,2025-08-29T00:16:57.822545,0.6481518817204301,0.4406474820143884,0.1404011461318051,0.8166666666666667,0.2396088019559902,349,60.0,49,556,64,2,0.001,0.5,1000,adam,7.6875,limited_pat_emb,cpu,100545
model_008_h64_numl3_lr0.0001_drop0_limited_pat_emb,2025-08-29T00:17:00.205491,0.6226478494623656,0.4766187050359712,0.1446153846153846,0.7833333333333333,0.2441558441558441,325,60.0,47,556,64,3,0.0001,0.0,1000,adam,7.6875,limited_pat_emb,cpu,150209
model_009_h64_numl3_lr0.001_drop0_limited_pat_emb,2025-08-29T00:17:02.144998,0.5537970430107527,0.8705035971223022,0.125,0.0333333333333333,0.0526315789473684,16,60.0,2,556,64,3,0.001,0.0,1000,adam,7.6875,limited_pat_emb,cpu,150209
model_010_h64_numl3_lr0.0001_drop0.1_limited_pat_emb,2025-08-29T00:17:05.890485,0.6362231182795699,0.447841726618705,0.1378299120234604,0.7833333333333333,0.2344139650872817,341,60.0,47,556,64,3,0.0001,0.1,1000,adam,7.6875,limited_pat_emb,cpu,150209
model_011_h64_numl3_lr0.001_drop0.1_limited_pat_emb,2025-08-29T00:17:15.688142,0.6703965053763441,0.6223021582733813,0.1710526315789473,0.65,0.2708333333333333,228,60.0,39,556,64,3,0.001,0.1,1000,adam,7.6875,limited_pat_emb,cpu,150209
model_012_h64_numl3_lr0.0001_drop0.3_limited_pat_emb,2025-08-29T00:17:20.277028,0.6436155913978495,0.5809352517985612,0.1581027667984189,0.6666666666666666,0.255591054313099,253,60.0,40,556,64,3,0.0001,0.3,1000,adam,7.6875,limited_pat_emb,cpu,150209
model_013_h64_numl3_lr0.001_drop0.3_limited_pat_emb,2025-08-29T00:17:21.997068,0.6019825268817204,0.3974820143884892,0.131367292225201,0.8166666666666667,0.2263279445727482,373,60.0,49,556,64,3,0.001,0.3,1000,adam,7.6875,limited_pat_emb,cpu,150209
model_014_h64_numl3_lr0.0001_drop0.5_limited_pat_emb,2025-08-29T00:17:24.965806,0.5724126344086021,0.4190647482014388,0.1337047353760445,0.8,0.2291169451073985,359,60.0,48,556,64,3,0.0001,0.5,1000,adam,7.6875,limited_pat_emb,cpu,150209
model_015_h64_numl3_lr0.001_drop0.5_limited_pat_emb,2025-08-29T00:17:32.357696,0.6657594086021505,0.6348920863309353,0.1822222222222222,0.6833333333333333,0.287719298245614,225,60.0,41,556,64,3,0.001,0.5,1000,adam,7.6875,limited_pat_emb,cpu,150209
model_016_h128_numl2_lr0.0001_drop0_limited_pat_emb,2025-08-29T00:17:43.984133,0.6934811827956988,0.6187050359712231,0.1752136752136752,0.6833333333333333,0.2789115646258503,234,60.0,41,556,128,2,0.0001,0.0,1000,adam,7.6875,limited_pat_emb,cpu,397697
model_017_h128_numl2_lr0.001_drop0_limited_pat_emb,2025-08-29T00:18:03.646727,0.69559811827957,0.6690647482014388,0.196078431372549,0.6666666666666666,0.303030303030303,204,60.0,40,556,128,2,0.001,0.0,1000,adam,7.6875,limited_pat_emb,cpu,397697
model_018_h128_numl2_lr0.0001_drop0.1_limited_pat_emb,2025-08-29T00:18:05.958077,0.6754032258064516,0.3579136690647482,0.1369193154034229,0.9333333333333332,0.2388059701492537,409,60.0,56,556,128,2,0.0001,0.1,1000,adam,7.6875,limited_pat_emb,cpu,397697
model_019_h128_numl2_lr0.001_drop0.1_limited_pat_emb,2025-08-29T00:18:07.980357,0.6210349462365592,0.8633093525179856,0.0555555555555555,0.0166666666666666,0.0256410256410256,18,60.0,1,556,128,2,0.001,0.1,1000,adam,7.6875,limited_pat_emb,cpu,397697
model_020_h128_numl2_lr0.0001_drop0.3_limited_pat_emb,2025-08-29T00:18:11.932888,0.6841061827956988,0.4658273381294964,0.1504424778761062,0.85,0.2556390977443609,339,60.0,51,556,128,2,0.0001,0.3,1000,adam,7.6875,limited_pat_emb,cpu,397697
model_021_h128_numl2_lr0.001_drop0.3_limited_pat_emb,2025-08-29T00:18:13.682465,0.6031586021505375,0.8902877697841727,0.0,0.0,0.0,1,60.0,0,556,128,2,0.001,0.3,1000,adam,7.6875,limited_pat_emb,cpu,397697
model_022_h128_numl2_lr0.0001_drop0.5_limited_pat_emb,2025-08-29T00:18:15.931806,0.5722782258064515,0.3830935251798561,0.1305483028720626,0.8333333333333334,0.2257336343115124,383,60.0,50,556,128,2,0.0001,0.5,1000,adam,7.6875,limited_pat_emb,cpu,397697
model_023_h128_numl2_lr0.001_drop0.5_limited_pat_emb,2025-08-29T00:18:19.190331,0.6599126344086022,0.6798561151079137,0.1894736842105263,0.6,0.288,190,60.0,36,556,128,2,0.001,0.5,1000,adam,7.6875,limited_pat_emb,cpu,397697
model_024_h128_numl3_lr0.0001_drop0_limited_pat_emb,2025-08-29T00:18:37.109334,0.6768145161290322,0.6474820143884892,0.1851851851851851,0.6666666666666666,0.289855072463768,216,60.0,40,556,128,3,0.0001,0.0,1000,adam,7.6875,limited_pat_emb,cpu,595329
model_025_h128_numl3_lr0.001_drop0_limited_pat_emb,2025-08-29T00:18:39.672974,0.6294018817204302,0.5863309352517986,0.157258064516129,0.65,0.2532467532467533,248,60.0,39,556,128,3,0.001,0.0,1000,adam,7.6875,limited_pat_emb,cpu,595329
model_026_h128_numl3_lr0.0001_drop0.1_limited_pat_emb,2025-08-29T00:18:51.147765,0.6729502688172042,0.64568345323741,0.1813953488372093,0.65,0.2836363636363636,215,60.0,39,556,128,3,0.0001,0.1,1000,adam,7.6875,limited_pat_emb,cpu,595329
model_027_h128_numl3_lr0.001_drop0.1_limited_pat_emb,2025-08-29T00:18:55.784225,0.6137768817204301,0.4946043165467625,0.1377049180327869,0.7,0.2301369863013698,305,60.0,42,556,128,3,0.001,0.1,1000,adam,7.6875,limited_pat_emb,cpu,595329
model_028_h128_numl3_lr0.0001_drop0.3_limited_pat_emb,2025-08-29T00:19:05.915402,0.6766801075268818,0.5953237410071942,0.1713147410358565,0.7166666666666667,0.2765273311897106,251,60.0,43,556,128,3,0.0001,0.3,1000,adam,7.6875,limited_pat_emb,cpu,595329
model_029_h128_numl3_lr0.001_drop0.3_limited_pat_emb,2025-08-29T00:19:10.032978,0.6005040322580645,0.4406474820143884,0.1341107871720116,0.7666666666666667,0.228287841191067,343,60.0,46,556,128,3,0.001,0.3,1000,adam,7.6875,limited_pat_emb,cpu,595329
model_030_h128_numl3_lr0.0001_drop0.5_limited_pat_emb,2025-08-29T00:19:12.416772,0.640356182795699,0.6996402877697842,0.1677018633540372,0.45,0.2443438914027149,161,60.0,27,556,128,3,0.0001,0.5,1000,adam,7.6875,limited_pat_emb,cpu,595329
model_031_h128_numl3_lr0.001_drop0.5_limited_pat_emb,2025-08-29T00:19:20.384811,0.6409610215053763,0.8165467625899281,0.1379310344827586,0.1333333333333333,0.135593220338983,58,60.0,8,556,128,3,0.001,0.5,1000,adam,7.6875,limited_pat_emb,cpu,595329
model_000_h64_numl2_lr0.0001_drop0_limited_combined_emb,2025-08-29T00:20:46.339458,0.6717405913978495,0.5449640287769785,0.1565836298932384,0.7333333333333333,0.2580645161290322,281,60.0,44,556,64,2,0.0001,0.0,1000,adam,7.6875,limited_combined_emb,cpu,100673
model_001_h64_numl2_lr0.001_drop0_limited_combined_emb,2025-08-29T00:20:48.832886,0.6671370967741935,0.4730215827338129,0.1501501501501501,0.8333333333333334,0.2544529262086514,333,60.0,50,556,64,2,0.001,0.0,1000,adam,7.6875,limited_combined_emb,cpu,100673
model_002_h64_numl2_lr0.0001_drop0.1_limited_combined_emb,2025-08-29T00:20:50.544712,0.513508064516129,0.1510791366906475,0.1098484848484848,0.9666666666666668,0.1972789115646258,528,60.0,58,556,64,2,0.0001,0.1,1000,adam,7.6875,limited_combined_emb,cpu,100673
model_003_h64_numl2_lr0.001_drop0.1_limited_combined_emb,2025-08-29T00:20:54.632925,0.6714045698924731,0.4532374100719424,0.1473988439306358,0.85,0.2512315270935961,346,60.0,51,556,64,2,0.001,0.1,1000,adam,7.6875,limited_combined_emb,cpu,100673
model_004_h64_numl2_lr0.0001_drop0.3_limited_combined_emb,2025-08-29T00:20:57.289798,0.6599462365591398,0.420863309352518,0.1340782122905028,0.8,0.2296650717703349,358,60.0,48,556,64,2,0.0001,0.3,1000,adam,7.6875,limited_combined_emb,cpu,100673
model_005_h64_numl2_lr0.001_drop0.3_limited_combined_emb,2025-08-29T00:21:06.805210,0.695497311827957,0.6492805755395683,0.1889400921658986,0.6833333333333333,0.296028880866426,217,60.0,41,556,64,2,0.001,0.3,1000,adam,7.6875,limited_combined_emb,cpu,100673
model_006_h64_numl2_lr0.0001_drop0.5_limited_combined_emb,2025-08-29T00:21:08.706718,0.4480846774193548,0.6241007194244604,0.0538922155688622,0.15,0.079295154185022,167,60.0,9,556,64,2,0.0001,0.5,1000,adam,7.6875,limited_combined_emb,cpu,100673
model_007_h64_numl2_lr0.001_drop0.5_limited_combined_emb,2025-08-29T00:21:11.729805,0.6856182795698924,0.6690647482014388,0.193069306930693,0.65,0.2977099236641221,202,60.0,39,556,64,2,0.001,0.5,1000,adam,7.6875,limited_combined_emb,cpu,100673
model_008_h64_numl3_lr0.0001_drop0_limited_combined_emb,2025-08-29T00:21:13.489861,0.6177083333333333,0.5989208633093526,0.1531914893617021,0.6,0.2440677966101695,235,60.0,36,556,64,3,0.0001,0.0,1000,adam,7.6875,limited_combined_emb,cpu,150337
model_009_h64_numl3_lr0.001_drop0_limited_combined_emb,2025-08-29T00:21:24.772689,0.6784610215053763,0.6276978417266187,0.1818181818181818,0.7,0.2886597938144329,231,60.0,42,556,64,3,0.001,0.0,1000,adam,7.6875,limited_combined_emb,cpu,150337
model_010_h64_numl3_lr0.0001_drop0.1_limited_combined_emb,2025-08-29T00:21:27.760867,0.553024193548387,0.2535971223021582,0.1247357293868921,0.9833333333333332,0.2213883677298311,473,60.0,59,556,64,3,0.0001,0.1,1000,adam,7.6875,limited_combined_emb,cpu,150337
model_011_h64_numl3_lr0.001_drop0.1_limited_combined_emb,2025-08-29T00:21:33.462571,0.6461357526881721,0.4424460431654676,0.1387283236994219,0.8,0.2364532019704433,346,60.0,48,556,64,3,0.001,0.1,1000,adam,7.6875,limited_combined_emb,cpu,150337
model_012_h64_numl3_lr0.0001_drop0.3_limited_combined_emb,2025-08-29T00:21:37.265873,0.6038306451612904,0.4298561151079136,0.1231671554252199,0.7,0.2094763092269326,341,60.0,42,556,64,3,0.0001,0.3,1000,adam,7.6875,limited_combined_emb,cpu,150337
model_013_h64_numl3_lr0.001_drop0.3_limited_combined_emb,2025-08-29T00:21:43.443287,0.6662298387096774,0.6007194244604317,0.1680327868852459,0.6833333333333333,0.2697368421052631,244,60.0,41,556,64,3,0.001,0.3,1000,adam,7.6875,limited_combined_emb,cpu,150337
model_014_h64_numl3_lr0.0001_drop0.5_limited_combined_emb,2025-08-29T00:21:58.733843,0.6684475806451613,0.6528776978417267,0.1724137931034483,0.5833333333333334,0.2661596958174905,203,60.0,35,556,64,3,0.0001,0.5,1000,adam,7.6875,limited_combined_emb,cpu,150337
model_015_h64_numl3_lr0.001_drop0.5_limited_combined_emb,2025-08-29T00:22:02.362058,0.6650201612903226,0.4784172661870504,0.1450617283950617,0.7833333333333333,0.2447916666666666,324,60.0,47,556,64,3,0.001,0.5,1000,adam,7.6875,limited_combined_emb,cpu,150337
model_016_h128_numl2_lr0.0001_drop0_limited_combined_emb,2025-08-29T00:22:18.086488,0.6980510752688173,0.6420863309352518,0.1883408071748878,0.7,0.2968197879858656,223,60.0,42,556,128,2,0.0001,0.0,1000,adam,7.6875,limited_combined_emb,cpu,397953
model_017_h128_numl2_lr0.001_drop0_limited_combined_emb,2025-08-29T00:22:20.758760,0.605241935483871,0.8920863309352518,0.0,0.0,0.0,0,60.0,0,556,128,2,0.001,0.0,1000,adam,7.6875,limited_combined_emb,cpu,397953
model_018_h128_numl2_lr0.0001_drop0.1_limited_combined_emb,2025-08-29T00:22:23.583745,0.6078629032258065,0.4766187050359712,0.1356466876971608,0.7166666666666667,0.2281167108753315,317,60.0,43,556,128,2,0.0001,0.1,1000,adam,7.6875,limited_combined_emb,cpu,397953
model_019_h128_numl2_lr0.001_drop0.1_limited_combined_emb,2025-08-29T00:22:25.839746,0.6133064516129032,0.1079136690647482,0.1079136690647482,1.0,0.1948051948051948,556,60.0,60,556,128,2,0.001,0.1,1000,adam,7.6875,limited_combined_emb,cpu,397953
model_020_h128_numl2_lr0.0001_drop0.3_limited_combined_emb,2025-08-29T00:22:54.597992,0.6909946236559139,0.6636690647482014,0.1902439024390244,0.65,0.2943396226415094,205,60.0,39,556,128,2,0.0001,0.3,1000,adam,7.6875,limited_combined_emb,cpu,397953
model_021_h128_numl2_lr0.001_drop0.3_limited_combined_emb,2025-08-29T00:22:57.076166,0.5485215053763441,0.3453237410071942,0.12,0.8,0.208695652173913,400,60.0,48,556,128,2,0.001,0.3,1000,adam,7.6875,limited_combined_emb,cpu,397953
model_022_h128_numl2_lr0.0001_drop0.5_limited_combined_emb,2025-08-29T00:23:12.691150,0.6852822580645163,0.6960431654676259,0.192090395480226,0.5666666666666667,0.2869198312236287,177,60.0,34,556,128,2,0.0001,0.5,1000,adam,7.6875,limited_combined_emb,cpu,397953
model_023_h128_numl2_lr0.001_drop0.5_limited_combined_emb,2025-08-29T00:23:26.624410,0.7030913978494624,0.6384892086330936,0.1921397379912663,0.7333333333333333,0.3044982698961938,229,60.0,44,556,128,2,0.001,0.5,1000,adam,7.6875,limited_combined_emb,cpu,397953
model_024_h128_numl3_lr0.0001_drop0_limited_combined_emb,2025-08-29T00:23:30.364449,0.6638104838709677,0.5701438848920863,0.1622641509433962,0.7166666666666667,0.2646153846153846,265,60.0,43,556,128,3,0.0001,0.0,1000,adam,7.6875,limited_combined_emb,cpu,595585
model_025_h128_numl3_lr0.001_drop0_limited_combined_emb,2025-08-29T00:23:33.195609,0.6204637096774194,0.4676258992805755,0.1424242424242424,0.7833333333333333,0.241025641025641,330,60.0,47,556,128,3,0.001,0.0,1000,adam,7.6875,limited_combined_emb,cpu,595585
model_026_h128_numl3_lr0.0001_drop0.1_limited_combined_emb,2025-08-29T00:23:39.000081,0.6443212365591398,0.6115107913669064,0.1637931034482758,0.6333333333333333,0.2602739726027397,232,60.0,38,556,128,3,0.0001,0.1,1000,adam,7.6875,limited_combined_emb,cpu,595585
model_027_h128_numl3_lr0.001_drop0.1_limited_combined_emb,2025-08-29T00:23:41.360582,0.6197244623655913,0.4172661870503597,0.1312849162011173,0.7833333333333333,0.2248803827751196,358,60.0,47,556,128,3,0.001,0.1,1000,adam,7.6875,limited_combined_emb,cpu,595585
model_028_h128_numl3_lr0.0001_drop0.3_limited_combined_emb,2025-08-29T00:23:48.921000,0.6673051075268818,0.6366906474820144,0.1682242990654205,0.6,0.2627737226277372,214,60.0,36,556,128,3,0.0001,0.3,1000,adam,7.6875,limited_combined_emb,cpu,595585
model_029_h128_numl3_lr0.001_drop0.3_limited_combined_emb,2025-08-29T00:23:53.320021,0.6484543010752688,0.5161870503597122,0.1433447098976109,0.7,0.2379603399433427,293,60.0,42,556,128,3,0.001,0.3,1000,adam,7.6875,limited_combined_emb,cpu,595585
model_030_h128_numl3_lr0.0001_drop0.5_limited_combined_emb,2025-08-29T00:23:57.052888,0.6226478494623656,0.3255395683453237,0.1311475409836065,0.9333333333333332,0.2299794661190965,427,60.0,56,556,128,3,0.0001,0.5,1000,adam,7.6875,limited_combined_emb,cpu,595585
